DATA,HORA,CONCESSIONARIA,RODOVIA,KM,SENTIDO,LATITUDE,LONGITUDE,CLASSE,SUBCLASSE,CAUSA_PROVAVEL,VITIMA_ILESA,VITIMA_LEVE,VITIMA_MODERADA,VITIMA_GRAVE,VITIMA_FATAL,VEICULOS_ENVOLVIDOS,MUNICIPIO,REGIAO_ADMINISTRATIVA,REGIONAL_DER,JURISDICAO
2020-07-19,00:45:00,L01-AUTOBAN,SP330,35.5,SUL,-23.36484060271,-46.846963455368,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1,CAJAMAR,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-07-19,00:48:00,L28-ENTREVIAS,SP330,420.771,SUL,-20.24303598,-47.7972054543,TOMBAMENTO,TOMBAMENTO-VEÍCULOS PESADOS,PANE MECÂNICA/ELÉTRICA,0,1,0,0,0,CAMINHÃO=1,BURITIZAL,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-07-19,01:57:00,L01-AUTOBAN,SPM330D,109.88,NORTE,-22.823236343902,-47.191447997302,COLISÃO,COLISÃO-TRASEIRA,NÃO INFORMADO,0,2,0,0,0,AUTOMÓVEL=2,SUMARÉ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-19,03:13:00,L28-ENTREVIAS,SP330,382.141,NORTE,-20.5676864601,-47.8688318461,CAPOTAMENTO,CAPOTAMENTO,FATOR-HUMANO,1,0,0,0,0,AUTOMÓVEL=1,SÃO JOAQUIM DA BARRA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-07-19,07:43:00,L01-AUTOBAN,SP330,92.2,NORTE,-22.93403645795,-47.072904444467,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,1,0,0,0,AUTOMÓVEL=2,CAMPINAS,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-19,17:50:00,L01-AUTOBAN,SP330,72.0,NORTE,-23.090420658481,-46.972727179527,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,1,0,0,0,AUTOMÓVEL=1,LOUVEIRA,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-19,18:34:00,L01-AUTOBAN,SP330,24.8,SUL,-23.428229062233,-46.787373787362,CHOQUE,CHOQUE-SINALIZAÇÃO,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1,SÃO PAULO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-07-19,19:02:00,L29-VIAPAULISTA,SP330,298.1,NORTE,-21.28844452,-47.74783707,CAPOTAMENTO,CAPOTAMENTO,IMPRUD. CONDUTOR-PERDA DE CONTROLE,0,0,0,0,1,AUTOMÓVEL=1,CRAVINHOS,RIBEIRÃO PRETO,RIBEIRÃO PRETO,ESTADUAL
2020-07-19,19:19:00,L01-AUTOBAN,SP330,72.24,SUL,-23.088725664588,-46.974075997555,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,1,0,0,0,AUTOMÓVEL=2,LOUVEIRA,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-19,19:35:00,L29-VIAPAULISTA,SP330,281.0,NORTE,-21.41406631,-47.66450119,CHOQUE,CHOQUE-VEÍCULO PARADO NA PISTA,IMPRUD. CONDUTOR,5,0,0,0,0,AUTOMÓVEL=1|CAMINHÃO=1,SÃO SIMÃO,RIBEIRÃO PRETO,RIBEIRÃO PRETO,ESTADUAL
