Rodovia;Tipo de Rodovia;Orientação;Origem;Municipio;Regional (CGR);Sede Coordenadoria Geral Regional;Km Inicial;Km Final;Extensão;Descrição Inicial;Descrição Final;Jurisdição;Administrador;Conservador;TipoPista;Sobreposição;Subposição;Perímetro Urbano;Data de Início do Contrato;Data de  Fim do Contrato;Estadual Coincidente;Denominação;Legislação;TPUso;Transf. Municipio;Subtrecho
SP 270;Eixo;Radial;Estadual;Alambari;CGR02;Itapetininga;136,060;142,500;6,440;Divisa Municipal Sarapui / Alambari;Entroncamento SPA 142/270 - Acesso Sarapui (Fuga para SP 268);Estadual;Concessionária;Spvias;DUP; ; ;Não;10 02 2000;10 09 2029;Sim;Raposo Tavares;Res. Csr 1.991 de 17/08/54; ; ;270SPE0386
SP 270;Eixo;Radial;Estadual;Alambari;CGR02;Itapetininga;142,500;145,500;3,000;Entroncamento SPA 142/270 - Acesso Sarapui (Fuga para SP 268);Entroncamento SPA 145/270 - Acesso Alambari;Estadual;Concessionária;Spvias;DUP; ; ;Não;10 02 2000;10 09 2029;Sim;Raposo Tavares;Res. Csr 1.991 de 17/08/54; ; ;270SPE6768
SP 270;Eixo;Radial;Estadual;Alambari;CGR02;Itapetininga;145,500;151,900;6,400;Entroncamento SPA 145/270 - Acesso Alambari;Divisa Municipal Alambari / Itapetininga;Estadual;Concessionária;Spvias;DUP; ; ;Não;10 02 2000;10 09 2029;Sim;Raposo Tavares;Res. Csr 1.991 de 17/08/54; ; ;270SPE7540
SP 268;Eixo;Radial;Estadual;Alambari;CGR02;Itapetininga;140,100;149,500;9,400;Divisa Municipal Capela do Alto / Alambari;Fuga para SP 270 (km 142);Estadual;DER;02.01;IMP; ; ;Não; ; ;Nã;Dionisio Francisco Lopes;Lei 11.289 de 16/12/2002; ; ;268SPE3244
SP 268;Eixo;Radial;Estadual;Alambari;CGR02;Itapetininga;149,500;153,000;3,500;Fuga para SP 270 (km 142);Entroncamento SPA 145/270;Estadual;DER;02.01;IMP; ; ;Não; ; ;Nã;Dionisio Francisco Lopes;Lei 11.289 de 16/12/2002; ; ;268SPE6122
SP 268;Eixo;Radial;Estadual;Alambari;CGR02;Itapetininga;153,000;154,700;1,700;Entroncamento SPA 145/270;Alambari Perímetro Urbano (A);Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã;Humberto Pellegrini, Vereador;Lei 6.879 de 06/06/90; ; ;268SPE1371
SP 268;Eixo;Radial;Estadual;Alambari;CGR02;Itapetininga;154,700;156,300;1,600;Alambari Perímetro Urbano (A);Alambari Perímetro Urbano (B);Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã;Humberto Pellegrini, Vereador;Lei 6.879 de 06/06/90; ; ;268SPE6194
SP 268;Eixo;Radial;Estadual;Alambari;CGR02;Itapetininga;156,300;161,500;5,200;Alambari Perímetro Urbano (B);Divisa Municipal Alambari / Itapetininga;Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã;Humberto Pellegrini, Vereador;Lei 6.879 de 06/06/90; ; ;268SPE2271
SPA 142/270;Acesso;Sem Informação;Estadual;Alambari;CGR02;Itapetininga;0,000;3,819;3,819;SP 270;Divisa Municipal Alambari / Sarapuí;Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã;Leonidio de Souza Barros;Lei 1.977 de 14/05/79; ; ;270SPA7511
SPA 145/270;Acesso;Sem Informação;Estadual;Alambari;CGR02;Itapetininga;0,000;1,500;1,500;SP 270;Alambari;Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã; ; ; ; ;270SPA8081
SP 270;Eixo;Radial;Estadual;Campina do Monte Alegre;CGR02;Itapetininga;209,160;211,160;2,000;Divisa Municipal Angatuba / Campina do Monte Alegre;Divisa Municipal Campina do Monte Alegre / Angatuba;Estadual;Concessionária;Via Raposo;PAV; ; ;Não;19 02 2026;19 02 2056;Nã;Raposo Tavares;Res. Csr 1.991 de 17/08/54; ; ;270SPE2209
SP 189;Eixo;Transversal;Estadual;Campina do Monte Alegre;CGR02;Itapetininga;0,000;11,850;11,850;Entroncamento SP 270 (km 208);Divisa Municipal Campina do Monte Alegre / Buri;Estadual;Concessionária;Via Raposo;PAV; ; ;Não;19 02 2026;19 02 2056;Nã;Lauri Simões de Barros, Engenheiro;Lei 4.284 de 04/10/84; ; ;189SPE3843
SP 189;Eixo;Transversal;Estadual;Buri;CGR02;Itapetininga;11,850;44,200;32,350;Divisa Municipal Campina do Monte Alegre / Buri;Buri Perímetro Urbano (A);Estadual;Concessionária;Via Raposo;PAV; ; ;Não;19 02 2026;19 02 2056;Nã;Lauri Simões de Barros, Engenheiro;Lei 4.284 de 04/10/84; ; ;189SPE5634
