CONCESSIONÁRIA,RODOVIA,KM,SENTIDO,OC,REGIÃO ADMINISTRATIVA,MUNICÍPIO,EVENTO,DATA INICIAL,DATA RECUPERAÇÃO,CONDIÇÃO,LOCAIS INTERDITADOS
L29-VIAPAULISTA,SP255,"354,900",SUL,5554,ITAPEVA,ITAPORANGA,EROSÃO,2022-03-20 00:00:00,2022-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP065,"56,000",SUL,177,CAMPINAS,NAZARE PAULISTA,EROSÃO,2022-03-19 00:00:00,2022-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP332,"154,400",SUL,189,CAMPINAS,ARTUR NOGUEIRA,QUEDA DE TALUDE,2022-03-19 00:00:00,2022-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP127,"81,700",SUL,122,SOROCABA,TIETE,EROSÃO,2022-03-19 00:00:00,2022-03-19 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP225,"304,520",LESTE,124,MARÍLIA,SANTA CRUZ DO RIO PARDO,ALAGAMENTO,2022-03-19 00:00:00,2022-03-19 00:00:00,COM INTERDIÇÃO,"FAIXA 2, ACOSTAMENTO"
L19-VIARONDON,SP300,"396,000",LESTE,19,BAURU,PIRAJUI,EROSÃO,2022-03-19 00:00:00,2022-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"576,000",LESTE,101,ARAÇATUBA,VALPARAISO,ALAGAMENTO,2022-03-19 00:00:00,2022-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP055,"260,000",LESTE,232,SANTOS,CUBATAO,EROSÃO,2022-03-19 00:00:00,2022-03-19 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L29-VIAPAULISTA,SP255,"298,800",SUL,5325,ITAPEVA,ITAI,ALAGAMENTO,2022-03-19 00:00:00,2022-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP281,"57,800",SUL,5362,ITAPEVA,ITAPORANGA,EROSÃO,2022-03-19 00:00:00,2022-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"345,000",NORTE,5405,ITAPEVA,CORONEL MACEDO,ALAGAMENTO,2022-03-19 00:00:00,2022-03-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP360,"80,850",SUL,213,CAMPINAS,ITATIBA,ALAGAMENTO,2022-03-18 00:00:00,2022-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"450,200",LESTE,184,MARÍLIA,ASSIS,EROSÃO,2022-03-18 00:00:00,2022-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SPA392/270,"1,000",SUL,201,MARÍLIA,SALTO GRANDE,EROSÃO,2022-03-18 00:00:00,2022-03-18 00:00:00,SEM INTERDIÇÃO,NENHUM
