PERIODO,KM,severidade,risco_previsto
2025-01,111,14.0,4.464721872184322
2025-02,104,9.0,4.463906444891563
2025-01,60,12.0,4.454440029313911
2025-09,99,3.0,4.451053270137727
2025-04,96,14.0,4.445039121784846
2025-04,111,5.0,4.444379878559391
2025-11,103,15.0,4.43527871269277
2025-04,20,0.0,4.433074199191183
2025-01,103,2.0,4.429265272318641
2025-05,18,1.0,4.426010009499262
2025-02,103,3.0,4.412716749213593
2025-11,61,6.0,4.405781718892678
2025-06,101,0.0,4.400663089941565
2025-05,20,1.0,4.393075060312023
2025-02,60,0.0,4.390566453108125
2025-04,12,0.0,4.3833598349740495
2025-10,104,1.0,4.3791569646246264
2025-01,96,5.0,4.373262733580999
2025-03,111,5.0,4.3607872130037855
2025-09,20,0.0,4.357914500482848
2025-06,60,0.0,4.35184865652374
2025-08,24,0.0,4.34735433159284
2025-03,109,10.0,4.337789038669482
2025-09,60,0.0,4.335668608234059
2025-11,111,4.0,4.33528475498162
2025-02,61,2.0,4.319309449270892
2025-11,22,2.0,4.304900621131342
2025-01,62,2.0,4.2998579883158445
2025-03,110,0.0,4.284180699943969
2025-10,19,1.0,4.284036239677254
2025-11,99,0.0,4.271017518548276
2025-06,26,3.0,4.2705494513638955
2025-05,58,1.0,4.2619265091683545
2025-12,62,0.0,4.261830673986943
2025-06,18,2.0,4.260858290561447
2025-12,24,1.0,4.257524176561021
2025-04,106,7.0,4.252621676520841
2025-11,25,1.0,4.238415794765089
2025-03,61,2.0,4.234777802606941
2025-02,26,1.0,4.226574227580655
2025-06,12,0.0,4.2066589803140495
2025-11,24,2.0,4.194798299563534
2025-02,111,19.0,4.194767901723982
2025-06,19,2.0,4.192549536036794
2025-08,62,1.0,4.1770934943853115
2025-05,101,1.0,4.171824247465025
2025-06,110,3.0,4.163436401134714
2025-06,58,0.0,4.155979076424545
2025-03,22,0.0,4.15511722324399
2025-06,99,4.0,4.13750361925651
2025-02,25,26.0,4.12747125951595
2025-10,58,0.0,4.119374196219134
2025-09,109,6.0,4.092570705804482
2025-07,19,0.0,4.090993029922437
2025-05,12,0.0,4.080780137934956
2025-12,110,16.0,4.068631953377476
2025-10,12,0.0,4.062610954320242
2025-05,60,1.0,4.058320420833706
2025-03,62,0.0,4.058119875629797
2025-07,26,13.0,4.041137590152576
2025-12,22,1.0,4.035804896758183
2025-05,62,1.0,4.033637545453409
2025-09,19,2.0,4.030266421675585
2025-04,103,4.0,4.022046399124545
2025-10,26,1.0,4.0159065734041635
2025-03,103,1.0,4.010695806519121
2025-07,105,1.0,4.002138486811853
2025-10,62,2.0,4.001591653491463
2025-04,61,5.0,3.9958761931956728
2025-11,110,4.0,3.989635217031831
2025-08,60,4.0,3.988939111810458
2025-01,110,3.0,3.9837103549381423
2025-12,111,4.0,3.9823986413217667
2025-01,102,22.0,3.979689619707309
2025-11,104,4.0,3.9731930380454976
2025-07,109,5.0,3.9725068328849087
2025-09,62,2.0,3.9677577614555894
2025-05,110,1.0,3.9625771818403694
2025-10,111,20.0,3.96112132582683
2025-04,62,2.0,3.948976864166819
2025-02,108,3.0,3.9487986347045645
2025-01,109,6.0,3.936437890148049
2025-11,12,6.0,3.9291335397192246
2025-04,22,0.0,3.9251255042825277
2025-11,26,1.0,3.9220325773651985
2025-08,19,1.0,3.9099808825630413
2025-03,105,1.0,3.90835360440596
2025-05,105,1.0,3.9012555169378076
2025-02,96,6.0,3.900995687916965
2025-03,26,3.0,3.8838850171893124
2025-07,62,2.0,3.881513828961131
2025-04,60,1.0,3.879003244846558
2025-07,99,23.0,3.876892084143891
2025-10,22,2.0,3.8650480529298386
2025-07,60,1.0,3.8620882569589554
2025-04,105,0.0,3.855666834516077
2025-11,20,0.0,3.850959266641384
2025-10,24,15.0,3.8267128697861663
2025-04,26,4.0,3.8264531455878497
2025-05,22,0.0,3.824305099796159
2025-04,19,2.0,3.823912287296774
2025-03,12,7.0,3.8204295598145244
2025-02,22,2.0,3.8193264456063156
2025-07,24,4.0,3.8190129871737923
2025-08,101,0.0,3.8182720252787057
2025-11,59,1.0,3.8155964669135174
2025-10,20,0.0,3.8104202779077725
2025-11,19,1.0,3.808481405634895
2025-06,105,15.0,3.8055766225787897
2025-11,36,0.0,3.803797316954128
2025-02,12,2.0,3.8001243531746267
2025-11,18,2.0,3.7943776561075793
2025-12,20,3.0,3.791768034748988
2025-11,58,2.0,3.7873598003813833
2025-03,58,3.0,3.7794504028094904
2025-11,53,2.0,3.7789579383903726
2025-02,62,1.0,3.766284556524379
2025-08,58,5.0,3.761387750591231
2025-02,109,6.0,3.757944862823306
2025-07,110,0.0,3.735749550855365
2025-12,12,10.0,3.730142015025944
2025-07,58,2.0,3.7206200634346986
2025-11,60,33.0,3.716065182941108
2025-07,12,6.0,3.7052300778796665
2025-09,58,5.0,3.7017732886915677
2025-11,62,14.0,3.698762410017918
2025-03,19,3.0,3.696314914541164
2025-04,101,2.0,3.6906046875583227
2025-12,99,0.0,3.6894090027386834
2025-03,24,22.0,3.6891260372053587
2025-12,53,2.0,3.676535081013946
2025-03,60,7.0,3.673873250769491
2025-08,97,2.0,3.6643979259211865
2025-02,101,0.0,3.653536318569449
2025-07,18,1.0,3.6499799120111027
2025-03,101,5.0,3.6386176676392084
2025-12,19,0.0,3.6372573307816287
2025-08,105,0.0,3.633628087966906
2025-12,58,0.0,3.6299444524216016
2025-06,100,0.0,3.6279756746171374
2025-12,36,2.0,3.617955024106516
2025-10,53,0.0,3.6143130077450123
2025-03,96,14.0,3.6045889075372264
2025-12,18,1.0,3.603910120290353
2025-10,60,3.0,3.5992826422006283
2025-04,58,7.0,3.56940408944749
2025-02,19,3.0,3.5566577288671284
2025-02,18,0.0,3.552739679211968
2025-09,53,2.0,3.551737688530338
2025-10,18,13.0,3.548767436160648
2025-08,59,7.0,3.5408090232465805
2025-09,105,0.0,3.521234272443536
2025-07,22,0.0,3.492509912537069
2025-08,23,0.0,3.4758594634052757
2025-09,110,0.0,3.470212336945334
2025-03,23,0.0,3.456924088318132
2025-06,22,2.0,3.4566863539639496
2025-01,18,2.0,3.4529214843085674
2025-03,113,0.0,3.451982034647749
2025-04,110,0.0,3.450756275982934
2025-01,58,2.0,3.445487902746014
2025-01,23,0.0,3.4335727998853276
2025-01,22,5.0,3.4115146073784994
2025-08,120,0.0,3.4014802986424426
2025-09,113,0.0,3.4001876366225963
2025-12,59,0.0,3.390894776075512
2025-09,22,7.0,3.368399227405886
2025-11,1,5.0,3.362036444996279
2025-08,113,1.0,3.362035676495124
2025-08,110,1.0,3.3583732493041314
2025-08,18,5.0,3.3558376791638915
2025-10,105,5.0,3.3438129418560374
2025-12,97,0.0,3.3272647700389437
2025-07,101,1.0,3.310485218380032
2025-10,113,1.0,3.3094373690239514
2025-10,36,3.0,3.2986089699116654
2025-02,105,3.0,3.2957701809937503
2025-11,100,2.0,3.2759172448277445
2025-05,36,1.0,3.257880264810729
2025-09,97,0.0,3.2557796240472623
2025-03,53,3.0,3.2519632706955344
2025-10,110,7.0,3.2515980171293415
2025-03,14,1.0,3.243743009937988
2025-12,14,0.0,3.239114008283516
2025-04,18,17.0,3.2296300133071467
2025-04,36,1.0,3.208130903498638
2025-11,113,0.0,3.198832639273033
2025-09,24,3.0,3.1978754815586985
2025-09,18,1.0,3.196254682621054
2025-12,105,0.0,3.196016908873133
2025-08,89,2.0,3.1925995044932454
2025-03,15,0.0,3.1896002383832123
2025-08,1,0.0,3.1862874170468696
2025-11,105,1.0,3.176874558699467
2025-08,22,1.0,3.174144332245453
2025-09,310,2.0,3.1654357208437927
2025-03,64,1.0,3.1560424106046088
2025-05,312,7.0,3.1533559524430603
2025-11,14,13.0,3.1328327137249414
2025-02,24,6.0,3.1292524607202923
2025-11,101,7.0,3.117025674866723
2025-09,89,0.0,3.1099917644845414
2025-06,113,4.0,3.106095572485703
2025-02,23,0.0,3.1027585576043224
2025-06,14,0.0,3.1004047861048365
